股票代码,股票名称,首次满足日期,10日涨幅(%),20日涨幅(%),40日涨幅(%)
002470.SZ,金正大,20260211,14.537444933920707,48.01762114537445,21.145374449339204
300166.SZ,东方国信,20260211,-13.525179856115113,17.697841726618698,19.856115107913666
300369.SZ,绿盟科技,20260211,-10.8053007135576,-1.834862385321098,-16.513761467889918
600583.SH,海油工程,20260211,7.391910739191078,-5.160390516039053,-2.231520223152024
600589.SH,大位科技,20260211,-9.365079365079364,-8.253968253968246,-11.111111111111114
603138.SH,海量数据,20260211,3.1128404669260727,4.669260700389109,1.653696498054474
603533.SH,掌阅科技,20260211,-12.190414924412991,-15.213895143132842,-18.04438726278546
300570.SZ,太辰光,20260212,-17.10483609217787,-22.64849074975658,-10.775722168127245
300846.SZ,首都在线,20260212,-2.488151658767762,-10.811611374407578,-9.834123222748806
600821.SH,金开新能,20260212,32.104454685099846,64.51612903225808,44.239631336405544
603688.SH,石英股份,20260212,12.892353065093754,-7.920792079207917,7.33094586054351
600791.SH,京能置业,20260213,9.465020576131693,12.208504801097389,75.17146776406035
601890.SH,亚星锚链,20260213,-1.1299435028248632,-20.177562550443906,-12.994350282485884
002283.SZ,天润工业,20260224,-3.5749751737835096,-11.12214498510428,10.824230387288976
300408.SZ,三环集团,20260224,-9.792329846900108,-17.780809458844928,1.5613157495831456
301291.SZ,明阳电气,20260224,2.130822596630326,-7.978196233894942,-6.80541790551701
301566.SZ,达利凯普,20260224,-2.811244979919676,-19.839357429718866,0.7228915662650591
600765.SH,中航重机,20260224,-9.044289044289034,-23.44988344988344,-22.657342657342657
603124.SH,江南新材,20260224,-2.718428948086185,-9.555414128557134,15.965087735248662
603466.SH,风语筑,20260224,-15.719844357976651,-28.482490272373546,-23.501945525291827
603727.SH,博迈科,20260224,4.479283314669657,10.414333706606941,-0.22396416573347788
688179.SH,阿拉丁,20260224,-1.4854111405835602,-13.209549071618046,1.3793103448275756
000012.SZ,南  玻Ａ,20260225,-4.63320463320462,-12.54826254826254,-13.706563706563706
000899.SZ,赣能股份,20260225,33.802816901408434,17.564208782104384,10.770505385252683
